List of packages in environment: "/lustre/home/mkocabas/y"

  Name                           Version         Build                         Channel                 
─────────────────────────────────────────────────────────────────────────────────────────────────────────
  SAM-2                          1.0             pypi_0                        pypi                    
  _libgcc_mutex                  0.1             conda_forge                   conda-forge             
  _openmp_mutex                  4.5             2_kmp_llvm                    conda-forge             
  anyio                          4.8.0           pyhd8ed1ab_0                  conda-forge             
  argon2-cffi                    23.1.0          pyhd8ed1ab_1                  conda-forge             
  argon2-cffi-bindings           21.2.0          py310ha75aee5_5               conda-forge             
  arrow                          1.3.0           pyhd8ed1ab_1                  conda-forge             
  asttokens                      3.0.0           pyhd8ed1ab_1                  conda-forge             
  async-lru                      2.0.4           pyhd8ed1ab_1                  conda-forge             
  attrs                          25.1.0          pyh71513ae_0                  conda-forge             
  av                             13.1.0          pypi_0                        pypi                    
  babel                          2.17.0          pyhd8ed1ab_0                  conda-forge             
  beautifulsoup4                 4.13.3          pyha770c72_0                  conda-forge             
  blas                           2.116           mkl                           conda-forge             
  blas-devel                     3.9.0           16_linux64_mkl                conda-forge             
  bleach                         6.2.0           pyh29332c3_4                  conda-forge             
  bleach-with-css                6.2.0           h82add2a_4                    conda-forge             
  brotli-python                  1.1.0           py310hf71b8c6_2               conda-forge             
  bzip2                          1.0.8           h4bc722e_7                    conda-forge             
  ca-certificates                2025.1.31       hbcca054_0                    conda-forge             
  cached-property                1.5.2           hd8ed1ab_1                    conda-forge             
  cached_property                1.5.2           pyha770c72_1                  conda-forge             
  certifi                        2025.1.31       pyhd8ed1ab_0                  conda-forge             
  cffi                           1.17.1          py310h8deb56e_0               conda-forge             
  charset-normalizer             3.4.1           pyhd8ed1ab_0                  conda-forge             
  chumpy                         0.70            pypi_0                        pypi                    
  colossalai                     0.4.9           pypi_0                        pypi                    
  comm                           0.2.2           pyhd8ed1ab_1                  conda-forge             
  cuda-cccl                      12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-command-line-tools        12.1.0          0                             nvidia/label/cuda-12.1.0
  cuda-compiler                  12.1.0          0                             nvidia/label/cuda-12.1.0
  cuda-cudart                    12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-cudart-dev                12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-cudart-static             12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-cuobjdump                 12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-cupti                     12.1.62         0                             nvidia/label/cuda-12.1.0
  cuda-cupti-static              12.1.62         0                             nvidia/label/cuda-12.1.0
  cuda-cuxxfilt                  12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-documentation             12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-driver-dev                12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-gdb                       12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-libraries                 12.1.0          0                             nvidia/label/cuda-12.1.0
  cuda-libraries-dev             12.1.0          0                             nvidia/label/cuda-12.1.0
  cuda-libraries-static          12.1.0          0                             nvidia/label/cuda-12.1.0
  cuda-nsight                    12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-nsight-compute            12.1.0          0                             nvidia/label/cuda-12.1.0
  cuda-nvcc                      12.1.66         0                             nvidia/label/cuda-12.1.0
  cuda-nvdisasm                  12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-nvml-dev                  12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-nvprof                    12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-nvprune                   12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-nvrtc                     12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-nvrtc-dev                 12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-nvrtc-static              12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-nvtx                      12.1.66         0                             nvidia/label/cuda-12.1.0
  cuda-nvvp                      12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-opencl                    12.1.56         0                             nvidia/label/cuda-12.1.0
  cuda-opencl-dev                12.1.56         0                             nvidia/label/cuda-12.1.0
  cuda-profiler-api              12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-runtime                   12.1.0          0                             nvidia                  
  cuda-sanitizer-api             12.1.55         0                             nvidia/label/cuda-12.1.0
  cuda-toolkit                   12.1.0          0                             nvidia/label/cuda-12.1.0
  cuda-tools                     12.1.0          0                             nvidia/label/cuda-12.1.0
  cuda-visual-tools              12.1.0          0                             nvidia/label/cuda-12.1.0
  datasets                       3.5.0           pypi_0                        pypi                    
  debugpy                        1.8.12          py310hf71b8c6_0               conda-forge             
  decorator                      5.1.1           pyhd8ed1ab_1                  conda-forge             
  decord                         0.6.0           pypi_0                        pypi                    
  defusedxml                     0.7.1           pyhd8ed1ab_0                  conda-forge             
  einops                         0.7.0           pypi_0                        pypi                    
  exceptiongroup                 1.2.2           pyhd8ed1ab_1                  conda-forge             
  executing                      2.1.0           pyhd8ed1ab_1                  conda-forge             
  ffmpeg                         4.3             hf484d3e_0                    pytorch                 
  filelock                       3.17.0          pyhd8ed1ab_0                  conda-forge             
  flash_attn                     2.7.4.post1     pypi_0                        pypi                    
  flatten-dict                   0.4.2           pypi_0                        pypi                    
  fqdn                           1.5.1           pyhd8ed1ab_1                  conda-forge             
  freetype                       2.12.1          h267a509_2                    conda-forge             
  ftfy                           6.3.1           pypi_0                        pypi                    
  gds-tools                      1.6.0.25        0                             nvidia/label/cuda-12.1.0
  gmp                            6.3.0           hac33072_2                    conda-forge             
  gmpy2                          2.1.5           py310he8512ff_3               conda-forge             
  gnutls                         3.6.13          h85f3911_1                    conda-forge             
  groundingdino                  0.1.0           pypi_0                        pypi                    
  h11                            0.14.0          pyhd8ed1ab_1                  conda-forge             
  h2                             4.2.0           pyhd8ed1ab_0                  conda-forge             
  hockey                         2.6             pypi_0                        pypi                    
